geo_h3_10,predictions,model_type
8a1181b0d827fff,0.0011607021693281511,Бинарная модель
8a1181b0d867fff,0.002269060376336512,Бинарная модель
8a1181b0d907fff,0.002269060376336512,Бинарная модель
8a1181b0d90ffff,0.0011607021693281511,Бинарная модель
8a1181b0d917fff,0.0011607021693281511,Бинарная модель
8a1181b0d91ffff,0.002269060376336512,Бинарная модель
8a1181b0d927fff,0.003986662988066759,Бинарная модель
8a1181b0d92ffff,0.0011607021693281511,Бинарная модель
8a1181b0d937fff,0.002269060376336512,Бинарная модель
8a1181b0d947fff,0.009463749603643474,Бинарная модель
8a1181b0d94ffff,0.003986662988066759,Бинарная модель
8a1181b0d957fff,0.00101864361173478,Бинарная модель
8a1181b0d95ffff,0.002269060376336512,Бинарная модель
8a1181b0d967fff,0.09908538892620168,Бинарная модель
8a1181b0d96ffff,0.025581186341753947,Бинарная модель
8a1181b0d977fff,0.008541529688578037,Бинарная модель
8a1181b28a07fff,0.710734605720512,Бинарная модель
8a1181b28a0ffff,0.0025096504819380155,Бинарная модель
8a1181b28a27fff,0.710734605720512,Бинарная модель
8a1181b28a2ffff,0.0014082666638802167,Бинарная модель
8a1181b28a47fff,0.0008876950991271472,Бинарная модель
8a1181b28a4ffff,0.0007790238683134882,Бинарная модель
8a1181b28a57fff,0.0025096504819380155,Бинарная модель
8a1181b28a5ffff,0.0025096504819380155,Бинарная модель
8a1181b28a67fff,0.0007587014200918518,Бинарная модель
8a1181b28a6ffff,0.0008645401899817346,Бинарная модель
8a1181b28a77fff,0.001735811026896245,Бинарная модель
8a1181b28ac7fff,0.004408567027226035,Бинарная модель
8a1181b28ae7fff,0.0025096504819380155,Бинарная модель
8a1181b28aeffff,0.0025096504819380155,Бинарная модель
8a1181b28b0ffff,0.0018225754422288454,Бинарная модель
8a1181b28b27fff,0.0027266476369143013,Бинарная модель
8a1181b28b2ffff,0.0023824156176653825,Бинарная модель
8a1181b28b47fff,0.00155772869044561,Бинарная модель
8a1181b28b4ffff,0.0014082666638802167,Бинарная модель
8a1181b28b57fff,0.0018225754422288454,Бинарная модель
8a1181b28b5ffff,0.00155772869044561,Бинарная модель
8a1181b28b67fff,0.00155772869044561,Бинарная модель
8a1181b28b6ffff,0.00155772869044561,Бинарная модель
8a1181b28b77fff,0.0016851405167927196,Бинарная модель
8a1181b29047fff,0.12185572089214287,Бинарная модель
8a1181b2904ffff,0.0011079756727926631,Бинарная модель
8a1181b2906ffff,0.003861196162136185,Бинарная модель
8a1181b29107fff,0.0025872761689964417,Бинарная модель
8a1181b2910ffff,0.0015331118347792785,Бинарная модель
8a1181b29127fff,0.0021281610290106276,Бинарная модель
8a1181b2912ffff,0.0015331118347792785,Бинарная модель
8a1181b29137fff,0.0025872761689964417,Бинарная модель
8a1181b29147fff,0.002107303092794246,Бинарная модель
8a1181b2914ffff,0.0015331118347792785,Бинарная модель
8a1181b29167fff,0.0015331118347792785,Бинарная модель
8a1181b2916ffff,0.0010626367595228403,Бинарная модель
8a1181b29177fff,0.0015331118347792785,Бинарная модель
8a1181b29207fff,0.00101864361173478,Бинарная модель
8a1181b2920ffff,0.002813142773966266,Бинарная модель
8a1181b29217fff,0.0011079756727926631,Бинарная модель
8a1181b2921ffff,0.0030593652049790586,Бинарная модель
8a1181b29227fff,0.00101864361173478,Бинарная модель
8a1181b2922ffff,0.00101864361173478,Бинарная модель
8a1181b29237fff,0.0011079756727926631,Бинарная модель
8a1181b29247fff,0.005475152913563416,Бинарная модель
8a1181b29257fff,0.005475152913563416,Бинарная модель
8a1181b29267fff,0.0016896195705203962,Бинарная модель
8a1181b2926ffff,0.0016896195705203962,Бинарная модель
8a1181b29277fff,0.0011268008613208947,Бинарная модель
8a1181b29287fff,0.00455580054035114,Бинарная модель
8a1181b2928ffff,0.002813142773966266,Бинарная модель
8a1181b29297fff,0.008958245373229375,Бинарная модель
8a1181b2929ffff,0.00101864361173478,Бинарная модель
8a1181b292affff,0.012711518241672552,Бинарная модель
8a1181b292c7fff,0.0015905789169453465,Бинарная модель
8a1181b292d7fff,0.0011268008613208947,Бинарная модель
8a1181b292dffff,0.0012898453632339663,Бинарная модель
8a1181b292e7fff,0.002813142773966266,Бинарная модель
8a1181b292effff,0.01578132217230212,Бинарная модель
8a1181b292f7fff,0.002813142773966266,Бинарная модель
8a1181b29307fff,0.00101864361173478,Бинарная модель
8a1181b2930ffff,0.00101864361173478,Бинарная модель
8a1181b29317fff,0.00101864361173478,Бинарная модель
8a1181b2931ffff,0.00101864361173478,Бинарная модель
8a1181b29327fff,0.00101864361173478,Бинарная модель
8a1181b2932ffff,0.00101864361173478,Бинарная модель
8a1181b29337fff,0.00101864361173478,Бинарная модель
8a1181b29347fff,0.00101864361173478,Бинарная модель
8a1181b2934ffff,0.0016896195705203962,Бинарная модель
8a1181b29357fff,0.00101864361173478,Бинарная модель
8a1181b2935ffff,0.00101864361173478,Бинарная модель
8a1181b29367fff,0.00101864361173478,Бинарная модель
8a1181b2936ffff,0.00101864361173478,Бинарная модель
8a1181b29377fff,0.00101864361173478,Бинарная модель
8a1181b2938ffff,0.002555286005435877,Бинарная модель
8a1181b293a7fff,0.0011079756727926631,Бинарная модель
8a1181b293affff,0.0011079756727926631,Бинарная модель
8a1181b29607fff,0.14958145941230389,Бинарная модель
8a1181b2960ffff,0.06831605380459599,Бинарная модель
8a1181b29617fff,0.05802102428795566,Бинарная модель
8a1181b2961ffff,0.05034152845907542,Бинарная модель
8a1181b2962ffff,0.17842364774154998,Бинарная модель
8a1181b29647fff,0.0026509723107277744,Бинарная модель
8a1181b2964ffff,0.0021795663118778373,Бинарная модель
8a1181b29657fff,0.0030792934599320697,Бинарная модель
8a1181b2965ffff,0.0034684342318590956,Бинарная модель
8a1181b29667fff,0.010540222562625495,Бинарная модель
8a1181b2966ffff,0.0011268008613208947,Бинарная модель
8a1181b29677fff,0.05787839521011347,Бинарная модель
8a1181b29687fff,0.02042778778734606,Бинарная модель
8a1181b2968ffff,0.01606307955094464,Бинарная модель
8a1181b29697fff,0.04478410438889357,Бинарная модель
8a1181b2969ffff,0.025361049927937925,Бинарная модель
8a1181b296a7fff,0.009804461108583507,Бинарная модель
8a1181b296affff,0.0022627832347627006,Бинарная модель
8a1181b296b7fff,0.041161755960979554,Бинарная модель
8a1181b296c7fff,0.013651127725583094,Бинарная модель
8a1181b296cffff,0.0030095986964582717,Бинарная модель
8a1181b296d7fff,0.00455304862954687,Бинарная модель
8a1181b296dffff,0.012291449064591863,Бинарная модель
8a1181b296e7fff,0.01264006635981584,Бинарная модель
8a1181b296effff,0.0030792934599320697,Бинарная модель
8a1181b296f7fff,0.007067875744201661,Бинарная модель
8a1181b2975ffff,0.08068539611842732,Бинарная модель
8a1181b2978ffff,0.05021226503474808,Бинарная модель
8a1181b2979ffff,0.017062501204119805,Бинарная модель
8a1181b29807fff,0.002269060376336512,Бинарная модель
8a1181b2980ffff,0.0019916201301196216,Бинарная модель
8a1181b29817fff,0.002269060376336512,Бинарная модель
8a1181b2981ffff,0.00101864361173478,Бинарная модель
8a1181b29827fff,0.0021721136472140808,Бинарная модель
8a1181b2982ffff,0.0019916201301196216,Бинарная модель
8a1181b29837fff,0.002269060376336512,Бинарная модель
8a1181b29847fff,0.0021721136472140808,Бинарная модель
8a1181b2984ffff,0.0013855398869244645,Бинарная модель
8a1181b29857fff,0.0011607021693281511,Бинарная модель
8a1181b2985ffff,0.002269060376336512,Бинарная модель
8a1181b29867fff,0.0021721136472140808,Бинарная модель
8a1181b2986ffff,0.00101864361173478,Бинарная модель
8a1181b29877fff,0.0019916201301196216,Бинарная модель
8a1181b29887fff,0.0014696696812791365,Бинарная модель
8a1181b2988ffff,0.0020201482353075476,Бинарная модель
8a1181b29897fff,0.0014696696812791365,Бинарная модель
8a1181b2989ffff,0.0024560187740880752,Бинарная модель
8a1181b298a7fff,0.0011607021693281511,Бинарная модель
8a1181b298affff,0.0014696696812791365,Бинарная модель
8a1181b298b7fff,0.0011607021693281511,Бинарная модель
8a1181b298c7fff,0.0011607021693281511,Бинарная модель
8a1181b298cffff,0.0011607021693281511,Бинарная модель
8a1181b298d7fff,0.0014696696812791365,Бинарная модель
8a1181b298dffff,0.0014696696812791365,Бинарная модель
8a1181b298e7fff,0.0011607021693281511,Бинарная модель
8a1181b298effff,0.0011607021693281511,Бинарная модель
8a1181b298f7fff,0.0014696696812791365,Бинарная модель
8a1181b29907fff,0.0024024491730522454,Бинарная модель
8a1181b2990ffff,0.0021721136472140808,Бинарная модель
8a1181b29917fff,0.0022028579959003586,Бинарная модель
8a1181b2991ffff,0.0019916201301196216,Бинарная модель
8a1181b29927fff,0.0022028579959003586,Бинарная модель
8a1181b2992ffff,0.0021721136472140808,Бинарная модель
8a1181b29937fff,0.0022028579959003586,Бинарная модель
8a1181b29947fff,0.0021721136472140808,Бинарная модель
8a1181b2994ffff,0.0021721136472140808,Бинарная модель
8a1181b29957fff,0.0021721136472140808,Бинарная модель
8a1181b2995ffff,0.0021721136472140808,Бинарная модель
8a1181b29967fff,0.0021721136472140808,Бинарная модель
8a1181b2996ffff,0.0021721136472140808,Бинарная модель
8a1181b29977fff,0.0021721136472140808,Бинарная модель
8a1181b29987fff,0.0012839234859990225,Бинарная модель
8a1181b2998ffff,0.0011607021693281511,Бинарная модель
8a1181b29997fff,0.0012839234859990225,Бинарная модель
8a1181b2999ffff,0.0011607021693281511,Бинарная модель
8a1181b299a7fff,0.0011268008613208947,Бинарная модель
8a1181b299affff,0.0019916201301196216,Бинарная модель
8a1181b299b7fff,0.0011268008613208947,Бинарная модель
8a1181b29a07fff,0.00101864361173478,Бинарная модель
8a1181b29a0ffff,0.00101864361173478,Бинарная модель
8a1181b29a17fff,0.0007790238683134882,Бинарная модель
8a1181b29a1ffff,0.00101864361173478,Бинарная модель
8a1181b29a27fff,0.00101864361173478,Бинарная модель
8a1181b29a2ffff,0.00101864361173478,Бинарная модель
8a1181b29a37fff,0.00101864361173478,Бинарная модель
8a1181b29a47fff,0.00101864361173478,Бинарная модель
8a1181b29a4ffff,0.00101864361173478,Бинарная модель
8a1181b29a57fff,0.00101864361173478,Бинарная модель
8a1181b29a5ffff,0.00101864361173478,Бинарная модель
8a1181b29a67fff,0.00101864361173478,Бинарная модель
8a1181b29a6ffff,0.00101864361173478,Бинарная модель
8a1181b29a77fff,0.00101864361173478,Бинарная модель
8a1181b29a8ffff,0.00101864361173478,Бинарная модель
8a1181b29a9ffff,0.00101864361173478,Бинарная модель
8a1181b29aa7fff,0.00101864361173478,Бинарная модель
8a1181b29aaffff,0.0007790238683134882,Бинарная модель
8a1181b29ab7fff,0.00121082310132545,Бинарная модель
8a1181b29ac7fff,0.00101864361173478,Бинарная модель
8a1181b29acffff,0.00101864361173478,Бинарная модель
8a1181b29ad7fff,0.00101864361173478,Бинарная модель
8a1181b29adffff,0.00101864361173478,Бинарная модель
8a1181b29ae7fff,0.00101864361173478,Бинарная модель
8a1181b29aeffff,0.00101864361173478,Бинарная модель
8a1181b29af7fff,0.00101864361173478,Бинарная модель
8a1181b29b07fff,0.00101864361173478,Бинарная модель
8a1181b29b0ffff,0.00101864361173478,Бинарная модель
8a1181b29b17fff,0.00101864361173478,Бинарная модель
8a1181b29b1ffff,0.00101864361173478,Бинарная модель
8a1181b29b27fff,0.00101864361173478,Бинарная модель
8a1181b29b2ffff,0.00101864361173478,Бинарная модель
8a1181b29b37fff,0.00101864361173478,Бинарная модель
8a1181b29b47fff,0.00101864361173478,Бинарная модель
8a1181b29b4ffff,0.00101864361173478,Бинарная модель
8a1181b29b57fff,0.00101864361173478,Бинарная модель
8a1181b29b5ffff,0.00101864361173478,Бинарная модель
8a1181b29b67fff,0.00101864361173478,Бинарная модель
8a1181b29b6ffff,0.00101864361173478,Бинарная модель
8a1181b29b77fff,0.00101864361173478,Бинарная модель
8a1181b29b87fff,0.00121082310132545,Бинарная модель
8a1181b29b8ffff,0.00101864361173478,Бинарная модель
8a1181b29b97fff,0.0010626367595228403,Бинарная модель
8a1181b29b9ffff,0.00121082310132545,Бинарная модель
8a1181b29ba7fff,0.0019916201301196216,Бинарная модель
8a1181b29baffff,0.00101864361173478,Бинарная модель
8a1181b29bb7fff,0.002269060376336512,Бинарная модель
8a1181b29c07fff,0.002745901113623395,Бинарная модель
8a1181b29c17fff,0.0023468416299019146,Бинарная модель
8a1181b29c27fff,0.002745901113623395,Бинарная модель
8a1181b29c37fff,0.0015913946774331342,Бинарная модель
8a1181b29c6ffff,0.0024803196942712806,Бинарная модель
8a1181b29ca7fff,0.00310974210666036,Бинарная модель
8a1181b29d07fff,0.0011332044669133208,Бинарная модель
8a1181b29d0ffff,0.0015913946774331342,Бинарная модель
8a1181b29d17fff,0.0007587014200918518,Бинарная модель
8a1181b29d1ffff,0.001390285523636096,Бинарная модель
8a1181b29d27fff,0.0011560676153810985,Бинарная модель
8a1181b29d2ffff,0.0015519418241462,Бинарная модель
8a1181b29d37fff,0.0011870212034713592,Бинарная модель
8a1181b29d4ffff,0.0017752654226693132,Бинарная модель
8a1181b29d67fff,0.0015519418241462,Бинарная модель
8a1181b29d6ffff,0.0011607021693281511,Бинарная модель
8a1181b29d87fff,0.001390285523636096,Бинарная модель
8a1181b29d8ffff,0.00310974210666036,Бинарная модель
8a1181b29d97fff,0.0028555456991861583,Бинарная модель
8a1181b29d9ffff,0.00310974210666036,Бинарная модель
8a1181b29da7fff,0.0013697517443854459,Бинарная модель
8a1181b29daffff,0.0015913946774331342,Бинарная модель
8a1181b29db7fff,0.0025096504819380155,Бинарная модель
8a1181b2b047fff,0.007537941845837516,Бинарная модель
8a1181b2b04ffff,0.010438232905654586,Бинарная модель
8a1181b2b057fff,0.0032274044650171282,Бинарная модель
8a1181b2b05ffff,0.005946419617759721,Бинарная модель
8a1181b2b067fff,0.0035156582360576184,Бинарная модель
8a1181b2b06ffff,0.013979671743174457,Бинарная модель
8a1181b2b077fff,0.0022028579959003586,Бинарная модель
8a1181b2b0cffff,0.001589604458972805,Бинарная модель
8a1181b2b0effff,0.00313792268451129,Бинарная модель
8a1181b2b147fff,0.005073434749962481,Бинарная модель
8a1181b2b14ffff,0.00393106395305232,Бинарная модель
8a1181b2b15ffff,0.003435301354830615,Бинарная модель
8a1181b2b16ffff,0.019650033692531273,Бинарная модель
8a1181b2b207fff,0.002269060376336512,Бинарная модель
8a1181b2b20ffff,0.5493277327382651,Бинарная модель
8a1181b2b217fff,0.002269060376336512,Бинарная модель
8a1181b2b21ffff,0.003986662988066759,Бинарная модель
8a1181b2b227fff,0.36545797971724087,Бинарная модель
8a1181b2b22ffff,0.5354590707677296,Бинарная модель
8a1181b2b237fff,0.0011607021693281511,Бинарная модель
8a1181b2b247fff,0.21860123538593287,Бинарная модель
8a1181b2b24ffff,0.8678728540788402,Бинарная модель
8a1181b2b257fff,0.5977877228067644,Бинарная модель
8a1181b2b25ffff,0.7862883864693812,Бинарная модель
8a1181b2b267fff,0.7222484577481342,Бинарная модель
8a1181b2b26ffff,0.9027110410800141,Бинарная модель
8a1181b2b277fff,0.36059107212015085,Бинарная модель
8a1181b2b287fff,0.002269060376336512,Бинарная модель
8a1181b2b28ffff,0.002269060376336512,Бинарная модель
8a1181b2b297fff,0.0011607021693281511,Бинарная модель
8a1181b2b29ffff,0.002269060376336512,Бинарная модель
8a1181b2b2a7fff,0.002041031086296036,Бинарная модель
8a1181b2b2affff,0.002269060376336512,Бинарная модель
8a1181b2b2b7fff,0.001589604458972805,Бинарная модель
8a1181b2b2c7fff,0.09856557372064055,Бинарная модель
8a1181b2b2cffff,0.07267928017063992,Бинарная модель
8a1181b2b2d7fff,0.009463749603643474,Бинарная модель
8a1181b2b2dffff,0.09856557372064055,Бинарная модель
8a1181b2b2e7fff,0.3732318518933081,Бинарная модель
8a1181b2b2effff,0.6661946287092945,Бинарная модель
8a1181b2b2f7fff,0.003986662988066759,Бинарная модель
8a1181b2b307fff,0.03633910637266321,Бинарная модель
8a1181b2b30ffff,0.06991763100475001,Бинарная модель
8a1181b2b317fff,0.010522225472852904,Бинарная модель
8a1181b2b31ffff,0.01740050677887156,Бинарная модель
8a1181b2b327fff,0.01403423505299858,Бинарная модель
8a1181b2b32ffff,0.1353485195494604,Бинарная модель
8a1181b2b337fff,0.013543619383990005,Бинарная модель
8a1181b2b347fff,0.8963945116753832,Бинарная модель
8a1181b2b34ffff,0.9125160222247402,Бинарная модель
8a1181b2b357fff,0.8482824252201916,Бинарная модель
8a1181b2b35ffff,0.7493283631654652,Бинарная модель
8a1181b2b367fff,0.9218628082641744,Бинарная модель
8a1181b2b36ffff,0.9191818063455053,Бинарная модель
8a1181b2b377fff,0.5277363561568054,Бинарная модель
8a1181b2b387fff,0.00432223180076108,Бинарная модель
8a1181b2b38ffff,0.00101864361173478,Бинарная модель
8a1181b2b397fff,0.0031062491573483463,Бинарная модель
8a1181b2b39ffff,0.001589604458972805,Бинарная модель
8a1181b2b3a7fff,0.005130087203088384,Бинарная модель
8a1181b2b3affff,0.00101864361173478,Бинарная модель
8a1181b2b3b7fff,0.004297185533532969,Бинарная модель
8a1181b2b62ffff,0.00101864361173478,Бинарная модель
8a1181b2b647fff,0.00101864361173478,Бинарная модель
8a1181b2b64ffff,0.002269060376336512,Бинарная модель
8a1181b2b667fff,0.00101864361173478,Бинарная модель
8a1181b2b66ffff,0.002269060376336512,Бинарная модель
8a1181b2b747fff,0.00101864361173478,Бинарная модель
8a1181b2b74ffff,0.00101864361173478,Бинарная модель
8a1181b2b757fff,0.00101864361173478,Бинарная модель
8a1181b2b75ffff,0.00101864361173478,Бинарная модель
8a1181b2b767fff,0.001589604458972805,Бинарная модель
8a1181b2b76ffff,0.001589604458972805,Бинарная модель
8a1181b2b777fff,0.00101864361173478,Бинарная модель
8a1181b2ba07fff,0.9104119232293058,Бинарная модель
8a1181b2ba0ffff,0.9626791728340459,Бинарная модель
8a1181b2ba17fff,0.8324370787678967,Бинарная модель
8a1181b2ba1ffff,0.7339008871540599,Бинарная модель
8a1181b2ba27fff,0.7985071708293554,Бинарная модель
8a1181b2ba2ffff,0.9081099186718612,Бинарная модель
8a1181b2ba37fff,0.7855205366886386,Бинарная модель
8a1181b2ba47fff,0.2736549118753586,Бинарная модель
8a1181b2ba4ffff,0.5700624656116849,Бинарная модель
8a1181b2ba57fff,0.8951994035486787,Бинарная модель
8a1181b2ba5ffff,0.792645886475354,Бинарная модель
8a1181b2ba67fff,0.28721997487128303,Бинарная модель
8a1181b2ba6ffff,0.1432625824165441,Бинарная модель
8a1181b2ba77fff,0.9272415171100831,Бинарная модель
8a1181b2ba87fff,0.5460785800504863,Бинарная модель
8a1181b2ba8ffff,0.8318164665388215,Бинарная модель
